set,video,min ssim,max ssim,avg ssim,min mse,max mse,avg mse
299,vpmyeepbep.mp4,0.2236215022200898,0.8527425914525345,0.6334556177729187,0.0019812792425381648,0.09117864888957347,0.015184977174369932
299,fzvpbrzssi.mp4,0.30024131178837354,0.8124254190319197,0.46011162532367206,0.0017692112653578532,0.15871607207144478,0.03469493856018131
299,syxobtuucp.mp4,0.3356426705477005,0.9031772179607424,0.5041662850554649,0.00048234925135180084,0.061581243175647955,0.02484076325320356
299,dhjnjkzuhq.mp4,0.35422218283320256,0.8696208432471425,0.6070640029095551,0.0004606184679626113,0.08489366276117785,0.007019973773686405
299,xcruhaccxc.mp4,0.22843849363133759,0.6308858082118866,0.3487292550127732,0.009255203545810881,0.06721359880879953,0.03743987996014743
299,vtunvalyji.mp4,0.19897979171328212,0.8232095085673284,0.42559711152427626,0.005796990641428473,0.0420867873099838,0.024295914701784358
299,qyqufaskjs.mp4,0.200595725051776,0.7695325207678784,0.4439648627367095,0.004795991032621656,0.045230716639537434,0.024527460121572323
299,rnpefxwptv.mp4,0.3922273656240996,0.8470990151997899,0.5330659721487642,0.0017408555238432161,0.04756409518699196,0.021439419882972828
299,sttnfyptum.mp4,0.23161379458608147,0.7191198613090637,0.4153168592187545,0.00024048495216119593,0.023473262223964755,0.0068802261269519304
299,xugmhbetrw.mp4,0.28384169470215403,0.9137906918743512,0.5711923839519568,0.0012449449832992608,0.11043831947135041,0.016571541758258913
299,uqtqhiqymz.mp4,0.3126153841206905,0.6662004816859448,0.43395056982451835,0.001012205043632996,0.02710423212465849,0.009558612981863297
299,jawgcggquk.mp4,0.2281031499448879,0.9256090257131855,0.6385435141560049,0.0012842057550708154,0.12264775118564698,0.015589156105795926
299,yexeazbqig.mp4,0.22701332449512399,0.8776142920969443,0.5058301258571218,0.0014986723909888714,0.08844130591311766,0.04347959430358852
299,hivnldfvyl.mp4,0.3822561512396936,0.6849833130963429,0.49953026627454616,0.007117700383155599,0.06687908429848757,0.029565764148572468
299,wfzjxzhdkj.mp4,0.23759350250761088,0.48018590241672454,0.30732743724155853,0.0015699461957326007,0.023079573174850414,0.014031544065183001
299,apedduehoy.mp4,0.25369410699528977,0.805740496126082,0.37614915014902517,0.0036877728904745194,0.06511093982168938,0.037995123786400374
299,exseruhiuk.mp4,0.31047778781140656,0.9632748393980682,0.4307425738182567,0.0005936846147127955,0.06829001123060116,0.0350688651133877
299,lnhkjhyhvw.mp4,0.17719732797734214,0.8286396856212913,0.4451004955692637,0.0023488572563155103,0.09680008013017248,0.04833452576597546
299,prdrkaxeob.mp4,0.4398104179191969,0.7336445092992975,0.5084342339784824,0.006842032095943501,0.07259750627478577,0.028883138192434807
299,pqdeutauqc.mp4,0.2838730253543956,0.7393669474356109,0.5397316222683775,0.002727408662614594,0.0794862560252744,0.02082755763256291
299,xjzkfqddyk.mp4,0.4099154920263803,0.9040768074019706,0.5202632011989813,0.001213769799895792,0.03296606435615874,0.01993448089080799
299,fufcmupzen.mp4,0.13363926088758246,0.9187633713954185,0.37302081912226503,0.0014470942536855356,0.16210846093501807,0.04885213383034599
299,lokzwdldxp.mp4,0.1511634720898953,0.6664051974165103,0.33691721965569266,0.009499989270755254,0.09882962226112436,0.04390187649247131
299,hplxtssgnz.mp4,0.22191395605713046,0.7311637997721185,0.41714440091675664,0.006952098357435538,0.037629469390707944,0.022048547224718253
299,gcdtglsoqj.mp4,0.32993770283878027,0.8320590220303832,0.5543594493705892,0.0007026654756131863,0.054457813994785415,0.020911019531831877
299,wclvkepakb.mp4,0.35330608430932653,0.9448357814941066,0.5648955225856302,0.0004750871539775961,0.16175587389161838,0.022932444532926144
299,upmgtackuf.mp4,0.35793041562514943,0.87025049899991,0.46409640720560563,0.0015022430210172907,0.08791340185263252,0.02731149526399758
